original_index,est_idx,est_end_idx,start,end
0,1571953.0,1573467.0,254.75744680851065,255.50531914893608
1,1577934.0,1578466.0,257.6808510638298,257.9308510638298
3,1578466.0,1580396.0,257.9308510638298,258.88297872340416
4,2083625.0,2083827.0,297.06,297.1497872340429
5,2083842.0,2085232.0,297.157170212766,297.836170212766
6,2085256.0,2085755.0,297.8478085106386,298.1087234042556
7,2085761.0,2086102.0,298.1118510638299,298.2608510638299
8,2086144.0,2087000.0,298.281,298.7
9,2087003.0,2087254.0,298.701,298.84
10,2087256.0,2088456.0,298.841,299.42
11,2088458.0,2089480.0,299.421,299.92
12,2093843.0,2094270.0,302.0512765957447,302.2512765957447
14,2094303.0,2095280.0,302.26717021276625,302.74617021276623
15,2095280.0,2096040.0,302.74617021276623,303.1344680851066
16,2096036.0,2096314.0,303.13234042553194,303.2661702127661
17,2096316.0,2096593.0,303.26717021276613,303.3861702127661
18,2096605.0,2097253.0,303.3999361702129,303.7089361702129
19,2097360.0,2098118.0,303.761,304.14
20,2099674.0,2100064.0,304.9,305.09042553191495
21,2100070.0,2101031.0,305.0935531914895,305.56319148936177
22,2106549.0,2107070.0,308.25,308.5138297872343
23,2107099.0,2108162.0,308.5275957446809,309.0465957446809
24,2114064.0,2115314.0,311.93,312.54
25,2115559.0,2116603.0,312.66,313.17
26,2117052.0,2118051.0,313.38,313.87
27,2118141.0,2119163.0,313.9123404255321,314.4117021276597
28,2121206.0,2122744.0,315.41,316.17
29,2122746.0,2124010.0,316.171,316.78
30,2125222.0,2125478.0,317.37248936170226,317.48808510638304
31,2125480.0,2126866.0,317.489085106383,318.1670212765958
32,2148686.0,2148888.0,328.83404255319147,328.9329787234043
33,2148888.0,2149768.0,328.9329787234043,329.36276595744675
34,2149768.0,2150212.0,329.36276595744675,329.56276595744674
35,2150212.0,2151024.0,329.56276595744674,329.9606382978722
36,2174676.0,2174888.0,341.5151063829785,341.6261702127658
37,2174907.0,2175175.0,341.63568085106374,341.76574468085096
38,2175185.0,2175857.0,341.771,342.0910638297872
39,2175883.0,2176122.0,342.0957446808512,342.2302127659577
41,2176137.0,2176817.0,342.2376595744682,342.560425531915
42,2176957.0,2177713.0,342.621,342.9982978723405
43,2177728.0,2177956.0,343.00568085106386,343.108085106383
44,2177976.0,2178815.0,343.1175957446809,343.53659574468094
45,2179074.0,2179449.0,343.65531914893614,343.8382978723405
46,2179449.0,2179944.0,343.8382978723405,344.0882978723405
47,2179950.0,2180361.0,344.091,344.30042553191504
48,2180416.0,2180745.0,344.3099361702128,344.4789361702128
49,2180751.0,2180971.0,344.4820638297875,344.59
50,2180973.0,2181484.0,344.591,344.84872340425534
51,2181481.0,2181993.0,344.84759574468086,345.0965957446809
52,2183432.0,2183715.0,345.8,345.93
53,2183717.0,2184196.0,345.931,346.16510638297854
54,2184210.0,2184851.0,346.1717021276596,346.48510638297864
55,2184883.0,2185534.0,346.501,346.81
56,2185536.0,2186128.0,346.811,347.11
57,2186130.0,2186870.0,347.111,347.47
58,2186872.0,2187234.0,347.471,347.65
59,2187586.0,2188013.0,347.83,348.03
60,2188015.0,2188403.0,348.031,348.23
62,2188405.0,2188648.0,348.231,348.3482978723406
63,2188646.0,2189619.0,348.347170212766,348.806170212766
64,2190098.0,2190324.0,349.0493617021277,349.15936170212774
65,2190347.0,2190617.0,349.171,349.3110638297873
66,2190619.0,2190901.0,349.3120638297873,349.4410638297873
68,2190916.0,2191439.0,349.4484468085109,349.69510638297896
69,2191471.0,2191717.0,349.7110000000001,349.84702127659574
70,2191731.0,2192405.0,349.8540425531916,350.1740425531916
71,2192557.0,2193816.0,350.241,350.87382978723406
72,2193951.0,2194319.0,350.93,351.110425531915
74,2194343.0,2194605.0,351.12206382978724,351.24106382978727
75,2194901.0,2195910.0,351.38674468085105,351.88
76,2195912.0,2196904.0,351.881,352.3648936170213
77,2199903.0,2200031.0,353.8299999999999,353.89276595744684
78,2200064.0,2200366.0,353.917170212766,354.066170212766
79,2200500.0,2201338.0,354.131,354.54
81,2201340.0,2201950.0,354.541,354.83
82,2201952.0,2202530.0,354.831,355.12
83,2202532.0,2204027.0,355.121,355.8451063829787
84,2204368.0,2204898.0,356.02,356.27
85,2204900.0,2205235.0,356.271,356.4353191489362
86,2205251.0,2206314.0,356.44270212765946,356.96170212765946
87,2206377.0,2207561.0,357.001,357.58
88,2207947.0,2208437.0,357.76,357.99
89,2208439.0,2208771.0,357.991,358.17
90,2208773.0,2209982.0,358.171,358.75468085106377
91,2209993.0,2210281.0,358.76,358.9
93,2210283.0,2210607.0,358.901,359.05
94,2210610.0,2211162.0,359.05170212765967,359.33
95,2211165.0,2211655.0,359.331,359.58
96,2211657.0,2212451.0,359.581,359.96
97,2212576.0,2212919.0,360.03,360.18
99,2212921.0,2213139.0,360.181,360.2955319148937
100,2213176.0,2213433.0,360.3135531914896,360.44
101,2213435.0,2214233.0,360.441,360.83
102,2214930.0,2215236.0,361.18,361.32
103,2215238.0,2215667.0,361.321,361.54
104,2215873.0,2217119.0,361.64,362.24
105,2218147.0,2218543.0,362.733829787234,362.9357446808511
106,2218554.0,2218999.0,362.941,363.1510638297873
107,2218999.0,2219215.0,363.1510638297873,363.27340425531935
108,2219215.0,2219532.0,363.27340425531935,363.4191489361704
109,2219554.0,2220022.0,363.43,363.65
110,2220024.0,2220439.0,363.651,363.8619148936172
111,2220441.0,2220624.0,363.8629148936173,363.9519148936173
112,2220626.0,2221071.0,363.9529148936172,364.1619148936172
113,2221155.0,2221648.0,364.2033404255319,364.45234042553193
114,2221806.0,2222288.0,364.5384468085106,364.7568085106382
115,2222294.0,2223370.0,364.76,365.2944680851065
116,2223377.0,2223608.0,365.297595744681,365.41
118,2223610.0,2223867.0,365.411,365.54638297872367
119,2223876.0,2224116.0,365.5506382978726,365.66553191489385
120,2224105.0,2224489.0,365.66,365.84
121,2224491.0,2225190.0,365.841,366.19
122,2225193.0,2225406.0,366.191,366.28
123,2225408.0,2225778.0,366.281,366.47
124,2225780.0,2225924.0,366.471,366.55
125,2225926.0,2226367.0,366.551,366.75
126,2226799.0,2227376.0,366.97,367.26
127,2227378.0,2228301.0,367.261,367.71
